team,elo_rating,elo_wins,elo_losses,elo_draws,elo_goals_for,elo_goals_against,confederation,elo_win_rate,elo_goal_diff
Algeria,1743,309,196,183,1052,703,CAF,0.44847605224963716,349
Argentina,2113,610,228,271,2112,1136,CONMEBOL,0.5495495495495496,976
Australia,1783,326,179,130,1289,714,AFC,0.5125786163522013,575
Austria,1827,370,310,185,1560,1321,UEFA,0.42725173210161665,239
Belgium,1867,390,302,184,1599,1359,UEFA,0.44469783352337516,240
Bosnia and Herzegovina,1594,104,111,64,393,385,UEFA,0.37142857142857144,8
Brazil,1984,670,172,223,2294,954,CONMEBOL,0.6285178236397748,1340
Canada,1784,189,185,114,626,623,CONCACAF,0.38650306748466257,3
Cape Verde,1549,94,97,60,267,278,CAF,0.373015873015873,-11
Colombia,1975,265,205,178,842,741,CONMEBOL,0.4083204930662558,101
Croatia,1930,209,83,106,694,401,UEFA,0.5238095238095238,293
Curaçao,1436,201,173,124,879,767,CONCACAF,0.4028056112224449,112
Czechia,1726,424,261,197,1624,1097,UEFA,0.4801812004530011,527
DR Congo,1655,226,171,150,835,641,CAF,0.4124087591240876,194
Ecuador,1933,183,254,161,719,903,CONMEBOL,0.3055091819699499,-184
Egypt,1689,446,216,221,1544,921,CAF,0.504524886877828,623
England,2020,683,215,262,2719,1118,UEFA,0.5882859603789836,1601
France,2081,474,269,195,1706,1272,UEFA,0.5047923322683706,434
Germany,1923,604,224,217,2352,1232,UEFA,0.5774378585086042,1120
Ghana,1503,370,213,195,1247,822,CAF,0.4749679075738126,425
Haiti,1532,246,197,118,957,759,CONCACAF,0.4377224199288256,198
Iran,1760,382,132,154,1270,524,AFC,0.5710014947683109,746
Iraq,1607,359,189,211,1202,707,AFC,0.4723684210526316,495
Ivory Coast,1676,348,166,178,1130,695,CAF,0.5021645021645021,435
Japan,1904,408,257,170,1517,985,AFC,0.4880382775119617,532
Jordan,1690,206,218,158,727,710,AFC,0.35334476843910806,17
Mexico,1860,533,258,237,1823,1055,CONCACAF,0.5179786200194364,768
Morocco,1822,364,165,199,1103,614,CAF,0.4993141289437586,489
Netherlands,1961,465,239,197,1892,1142,UEFA,0.5155210643015521,750
New Zealand,1585,181,179,79,767,645,OFC,0.4113636363636364,122
Norway,1912,334,355,197,1373,1443,UEFA,0.3765501691093574,-70
Panama,1737,196,251,144,736,906,CONCACAF,0.3310810810810811,-170
Paraguay,1833,276,303,209,1002,1115,CONMEBOL,0.34980988593155893,-113
Portugal,1984,346,189,159,1222,779,UEFA,0.497841726618705,443
Qatar,1425,289,232,176,993,825,AFC,0.4140401146131805,168
Saudi Arabia,1568,396,245,194,1281,892,AFC,0.47368421052631576,389
Scotland,1767,411,268,188,1495,1075,UEFA,0.4735023041474654,420
Senegal,1878,319,192,193,967,669,CAF,0.4524822695035461,298
South Africa,1524,231,141,152,719,542,CAF,0.44,177
South Korea,1752,571,221,258,1907,964,AFC,0.5432921027592769,943
Spain,2165,461,138,181,1591,697,UEFA,0.5902688860435339,894
Sweden,1719,549,335,234,2226,1482,UEFA,0.4906166219839142,744
Switzerland,1889,319,373,203,1335,1482,UEFA,0.3560267857142857,-147
Tunisia,1636,330,229,216,1105,839,CAF,0.4252577319587629,266
Turkey,1902,263,250,156,947,969,UEFA,0.3925373134328358,-22
United States,1721,366,286,173,1246,1073,CONCACAF,0.4430992736077482,173
Uruguay,1892,446,321,252,1610,1254,CONMEBOL,0.4372549019607843,356
Uzbekistan,1727,180,110,75,635,398,AFC,0.4918032786885246,237
