nation_code,attack_goals,attack_assists,attack_crosses,team,mid_assists,mid_tackles,mid_interceptions,def_tackles,def_interceptions,def_clearances
ARG,7.666666666666667,1.75,14.916666666666666,Argentina,2.4827586206896552,19.275862068965516,10.068965517241379,21.65,22.5,22.5
AUS,,,,Australia,1.5,13.0,17.0,25.0,27.0,27.0
AUT,3.5,1.5,4.0,Austria,2.4285714285714284,22.5,17.142857142857142,20.083333333333332,20.416666666666668,20.416666666666668
BEL,1.0,1.0,19.0,Belgium,1.962962962962963,17.22222222222222,14.296296296296296,15.214285714285714,16.642857142857142,16.642857142857142
BRA,6.555555555555555,1.6666666666666667,9.777777777777779,Brazil,2.0526315789473686,17.394736842105264,11.473684210526315,17.346153846153847,18.307692307692307,18.307692307692307
CAN,3.0,2.0,4.666666666666667,Canada,0.5,18.5,17.0,6.0,3.0,3.0
CIV,1.6666666666666667,1.3333333333333333,3.6666666666666665,Ivory Coast,2.235294117647059,12.705882352941176,8.529411764705882,19.428571428571427,21.142857142857142,21.142857142857142
CMR,3.75,2.25,5.5,Cameroon,1.0,15.0,12.4,14.0,11.5,11.5
COL,4.666666666666667,2.0,11.0,Colombia,1.8888888888888888,13.222222222222221,8.333333333333334,23.333333333333332,23.0,23.0
ECU,,,,Ecuador,0.5,16.75,19.5,26.0,26.0,26.0
EGY,4.0,0.0,9.0,Egypt,4.333333333333333,15.333333333333334,3.6666666666666665,,,
ENG,6.75,1.1666666666666667,12.166666666666666,England,2.3088235294117645,15.544117647058824,11.294117647058824,18.716666666666665,17.9,17.9
ESP,7.0,1.5238095238095237,7.857142857142857,Spain,1.9477124183006536,15.34640522875817,11.96078431372549,20.708661417322833,18.559055118110237,18.559055118110237
FRA,6.925925925925926,2.5925925925925926,16.555555555555557,France,1.9913793103448276,18.20689655172414,12.827586206896552,18.51685393258427,19.382022471910112,19.382022471910112
GER,3.8125,0.875,7.375,Germany,2.2151898734177213,14.278481012658228,11.835443037974683,20.818181818181817,20.833333333333332,20.833333333333332
HON,,,,Honduras,3.0,26.0,14.0,,,
HUN,,,,Hungary,1.0,22.0,20.0,31.75,30.25,30.25
ITA,3.9545454545454546,1.2727272727272727,13.545454545454545,Italy,1.8235294117647058,14.0,11.161764705882353,17.274193548387096,16.758064516129032,16.758064516129032
JOR,,,,Jordan,6.0,16.0,11.0,,,
JPN,,,,Japan,1.6666666666666667,17.0,15.916666666666666,13.5,14.0,14.0
KOR,,,,South Korea,1.4285714285714286,11.571428571428571,10.142857142857142,19.0,38.0,38.0
KSA,,,,Saudi Arabia,4.0,22.0,9.0,,,
MAR,2.6,0.4,3.4,Morocco,2.0416666666666665,13.125,7.916666666666667,15.3,15.1,15.1
MEX,4.5,2.0,4.0,Mexico,0.5,10.5,6.0,38.0,46.0,46.0
MLI,,,,Mali,1.6666666666666667,22.88888888888889,14.88888888888889,16.428571428571427,16.857142857142858,16.857142857142858
NED,6.428571428571429,1.4285714285714286,6.285714285714286,Netherlands,2.260869565217391,16.08695652173913,10.91304347826087,19.78787878787879,18.90909090909091,18.90909090909091
NGA,3.5454545454545454,1.1818181818181819,3.6363636363636362,Nigeria,1.5454545454545454,9.090909090909092,7.181818181818182,18.0,16.4,16.4
NZL,3.0,0.0,1.0,New Zealand,,,,,,
PAN,,,,Panama,,,,13.0,6.0,6.0
PAR,1.0,1.0,2.0,Paraguay,3.5,29.5,13.0,18.0,36.0,36.0
POL,6.0,1.0,3.6666666666666665,Poland,2.5,20.833333333333332,14.833333333333334,22.142857142857142,16.0,16.0
POR,6.75,1.0,8.0,Portugal,3.769230769230769,21.03846153846154,13.307692307692308,19.333333333333332,20.88888888888889,20.88888888888889
SEN,4.833333333333333,0.8333333333333334,3.1666666666666665,Senegal,2.0,15.666666666666666,12.666666666666666,21.066666666666666,22.266666666666666,22.266666666666666
SRB,3.8,2.4,5.0,Serbia,0.8333333333333334,14.0,11.5,12.166666666666666,13.166666666666666,13.166666666666666
SVK,0.0,0.0,21.0,Slovakia,0.5,11.0,13.0,24.25,25.25,25.25
SVN,11.0,1.0,2.0,Slovenia,0.0,6.0,5.0,13.0,22.0,22.0
TUR,2.5,0.0,1.5,Turkey,3.375,16.0,8.625,30.5,24.75,24.75
URU,4.666666666666667,2.0,5.0,Uruguay,0.8571428571428571,26.857142857142858,17.571428571428573,23.583333333333332,15.5,15.5
USA,7.0,2.6666666666666665,17.0,United States,1.4444444444444444,20.11111111111111,19.0,25.555555555555557,20.88888888888889,20.88888888888889
UZB,,,,Uzbekistan,,,,20.0,29.0,29.0
