team,star_player_elo
Algeria,2370.933333333333
Argentina,2538.733333333333
Australia,2236.9666666666667
Austria,2474.366666666667
Belgium,2561.633333333333
Bosnia and Herzegovina,2215.4333333333334
Brazil,2646.4
Canada,2410.766666666667
Colombia,2469.633333333333
Croatia,2617.5
Ecuador,2508.9333333333334
Egypt,2294.4
England,2657.366666666667
France,2677.0333333333333
Germany,2547.233333333333
Ghana,2405.0666666666666
Iran,2166.7999999999997
Iraq,1849.5333333333335
Italy,2564.7999999999997
Ivory Coast,1702.7
Japan,2480.0
Jordan,2012.0666666666666
Mexico,2399.633333333333
Morocco,2588.0666666666666
Netherlands,2604.5
New Zealand,2141.7000000000003
Norway,2635.433333333333
Panama,2234.633333333333
Paraguay,2324.1
Portugal,2709.6666666666665
Qatar,2126.6
Saudi Arabia,2367.7000000000003
Scotland,2493.6
Senegal,2447.7999999999997
South Africa,2060.1666666666665
Spain,2774.566666666667
Sweden,2467.633333333333
Switzerland,2487.9333333333334
Tunisia,2146.6
Turkey,1991.6333333333332
Uruguay,2544.0666666666666
Uzbekistan,2183.1666666666665
