player_id,player_name,elo,current_rank,elo_prev_28d,rank_prev_28d,nationality,current_team,current_league,games_played,last_updated
coach_4,Pep Guardiola,2669.2,1,2700.4,1,Spain,Manchester City,Premier League,578,2026-05-24 15:00:00+00:00
coach_7248,Mikel Arteta,2663.9,2,2650.0,2,Spain,Arsenal,Premier League,342,2026-05-30 16:00:00+00:00
coach_2392,Simone Inzaghi,2604.5,3,2604.5,4,Italy,Al-Hilal Saudi FC,Saudi Pro League,486,2026-04-13 18:00:00+00:00
coach_12590,Vincent Kompany,2587.8,4,2581.5,5,Belgium,Bayern München,Bundesliga,287,2026-05-23 18:00:00+00:00
coach_2108,Andoni Iraola,2576.9,5,2571.0,7,Spain,Bournemouth,Premier League,313,2026-05-24 15:00:00+00:00
coach_6472,Hansi Flick,2564.7,6,2646.2,3,Germany,Barcelona,La Liga,202,2026-05-23 19:00:00+00:00
coach_18,Unai Emery Etxegoien,2557.4,7,2476.5,15,Spain,Aston Villa,Premier League,504,2026-05-24 15:00:00+00:00
coach_193,Luis Enrique,2550.6,8,2575.6,6,Spain,Paris Saint Germain,Ligue 1,244,2026-05-30 16:00:00+00:00
coach_123,Jorge Jesus,2526.3,9,2526.3,9,Portugal,Al-Nassr,Saudi Pro League,386,2026-02-25 19:00:00+00:00
coach_12629,Enzo Maresca,2523.5,10,2523.5,10,Italy,,Premier League,165,2026-01-10 20:00:00+00:00
coach_2204,Sérgio Conceição,2502.2,11,2502.2,11,Portugal,Al-Ittihad FC,Saudi Pro League,425,2026-04-17 18:00:00+00:00
coach_1532,Peter Bosz,2499.0,12,2483.1,13,Netherlands,PSV Eindhoven,Eredivisie,380,2026-05-17 12:30:00+00:00
coach_19253,Fabian Hürzeler,2495.8,13,2558.1,8,Germany,Brighton,Premier League,139,2026-05-24 15:00:00+00:00
coach_13959,Matthias Jaissle,2476.5,14,2476.5,14,Germany,Al-Ahli Jeddah,Saudi Pro League,219,2026-04-25 16:15:00+00:00
coach_2407,Carlo Ancelotti,2445.4,15,2445.4,17,Italy,,La Liga,415,2025-05-24 14:15:00+00:00
coach_2424,Roberto De Zerbi,2433.3,16,2442.9,18,Italy,Tottenham,Premier League,347,2026-05-24 15:00:00+00:00
coach_1103,Abel Fernando Moreira Ferreira,2432.3,17,2413.7,21,Portugal,Palmeiras,Brazil Serie A,539,2026-05-31 19:00:00+00:00
coach_2803,Rui Manuel Gomes Borges,2422.5,18,2455.9,16,Portugal,Vilafranquense,Primeira Liga,157,2026-05-24 16:15:00+00:00
coach_6801,Xabier Alonso Olano,2421.0,19,2421.0,19,Spain,,La Liga,213,2026-01-11 19:00:00+00:00
coach_4720,Ruben Filipe Marques Diogo Amorim,2403.3,20,2403.3,22,Portugal,,Premier League,245,2026-01-11 16:30:00+00:00
coach_2006,Arne Slot,2399.5,21,2415.8,20,Netherlands,Liverpool,Premier League,312,2026-05-24 15:00:00+00:00
coach_17873,Francesco Farioli,2397.8,22,2393.3,24,Italy,FC Porto,Primeira Liga,160,2026-05-16 14:30:00+00:00
coach_2251,Antonio Ricardo Mohamed Matijevich,2394.5,23,2394.5,23,Argentina,Toluca,Liga MX,260,2026-02-22 01:00:00+00:00
coach_10,Marco Alexandre Saraiva da Silva,2393.3,24,2383.8,26,Portugal,Fulham,Premier League,331,2026-05-24 15:00:00+00:00
coach_309,Kazuaki Yoshinaga,2391.4,25,2391.4,25,Japan,,Singapore Premier League,117,2025-01-17 11:45:00+00:00
coach_2425,Antonio Conte,2380.9,26,2367.0,29,Italy,Napoli,Serie A,363,2026-05-24 16:00:00+00:00
coach_3370,Ramón Ángel Díaz,2370.5,27,2370.5,28,Argentina,,Brazil Paulista A1,181,2025-03-28 00:35:00+00:00
coach_1585,Marcelino García Toral,2369.4,28,2337.7,42,Spain,Villarreal,La Liga,295,2026-05-24 19:00:00+00:00
coach_1528,Niko Kovač,2367.6,29,2353.0,34,Croatia,Borussia Dortmund,Bundesliga,345,2026-05-16 13:30:00+00:00
coach_2462,José Mário dos Santos Mourinho Félix,2365.5,30,2355.5,32,Portugal,Benfica,Primeira Liga,465,2026-05-16 19:30:00+00:00
coach_68,Bruno Génésio,2360.3,31,2360.3,30,France,,Ligue 1,386,2025-12-05 20:00:00+00:00
coach_1545,Julian Nagelsmann,2354.3,32,2354.4,33,Germany,Germany,WC Qualification Europe,315,2025-11-17 19:45:00+00:00
coach_5,Edward John Frank Howe,2351.7,33,2349.0,36,England,Newcastle,Premier League,392,2026-05-24 15:00:00+00:00
coach_40,Thomas Tuchel,2349.1,34,2349.1,35,Germany,England,WC Qualification Europe,324,2025-11-16 17:00:00+00:00
coach_1263,Luís Manuel Ribeiro de Castro,2348.4,35,2348.4,38,Portugal,,UAE Pro League,290,2026-01-17 13:05:00+00:00
coach_6279,Régis Le Bris,2346.9,36,2287.7,62,France,Sunderland,Premier League,164,2026-05-24 15:00:00+00:00
coach_21528,Francesc Fàbregas i Soler,2346.4,37,2321.6,49,Spain,Como,Serie A,88,2026-05-24 18:45:00+00:00
coach_5662,David William Moyes,2346.0,38,2346.0,39,Scotland,,Premier League,335,2025-12-06 15:00:00+00:00
coach_2393,Gian Piero Gasperini,2344.8,39,2319.9,51,Italy,AS Roma,Serie A,481,2026-05-24 18:45:00+00:00
coach_15642,Cristian Eugen Chivu,2338.5,40,2327.9,45,Romania,Inter,Serie A,70,2026-05-23 16:00:00+00:00
coach_1399,Sebastian Hoeneß,2335.4,41,2341.4,41,Germany,VfB Stuttgart,Bundesliga,226,2026-05-23 18:00:00+00:00
coach_16,Nuno Herlander Simões Espírito Santo,2335.0,42,2317.4,53,Portugal,West Ham,Premier League,372,2026-05-24 15:00:00+00:00
coach_90,Thomas Frank,2333.6,43,2333.6,43,Denmark,,Premier League,346,2026-02-10 19:30:00+00:00
coach_1348,Ole Werner,2332.8,44,2356.9,31,Germany,RB Leipzig,Bundesliga,234,2026-05-16 13:30:00+00:00
coach_13,Mauricio Roberto Pochettino Trossero,2331.8,45,2331.8,44,Argentina,USA,CONCACAF Gold Cup,322,2025-07-06 23:00:00+00:00
coach_1952,Kjetil Knutsen,2323.3,46,2303.8,56,Norway,Bodo/Glimt,Eliteserien,303,2026-05-29 17:00:00+00:00
coach_23648,Filipe Luís Kasmirski,2322.9,47,2322.9,47,Brazil,,Brazil Serie A,80,2026-02-11 00:30:00+00:00
coach_1518,Philippe Clement,2322.8,48,2322.8,48,Belgium,Norwich,England Championship,351,2026-05-02 11:30:00+00:00
coach_1127,Qurban Qurbanov,2320.7,49,2320.7,50,Azerbaijan,Qarabag,Azerbaijan Premyer Liqa,393,2026-04-06 15:00:00+00:00
coach_2,Daniel Farke,2318.0,50,2325.7,46,Germany,Leeds,Premier League,382,2026-05-24 15:00:00+00:00
coach_13350,Liam James Rosenior,2317.5,51,2317.5,52,England,,Premier League,180,2026-04-21 19:00:00+00:00
